UniqID,Lat,Lon,SiteName,LabCode,Age,Error,Material,Reference,LEVEL2,L2Desc,calcurve
400048,-27.8,-48.5,Armacao do Sul,Beta-384012,2380,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400049,-27.8,-48.5,Armacao do Sul,Beta-384033,2380,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400050,-27.8,-48.5,Armacao do Sul,Beta-384027,2410,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400051,-27.8,-48.5,Armacao do Sul,Beta-384005,2430,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400052,-27.8,-48.5,Armacao do Sul,Beta-384014,2480,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400053,-27.8,-48.5,Armacao do Sul,Beta-384016,2530,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400054,-27.8,-48.5,Armacao do Sul,Beta-384028,2610,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400055,-27.8,-48.5,Armacao do Sul,Beta-384017,2630,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400056,-27.8,-48.5,Armacao do Sul,Beta-384024,2660,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400057,-27.8,-48.5,Armacao do Sul,Beta-384026,2670,30,Charcoal,Oppitz 2015,21.4,Atlantic Forests,tropics
400058,-27.8,-48.5,Armacao do Sul,I-9212,2670,90,Human collagen,Schmitz et al. 1992,21.4,Atlantic Forests,tropics
400059,-27.8,-48.5,Armacao do Sul,Beta-384018,2690,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400060,-27.8,-48.5,Armacao do Sul,Beta-384013,2700,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400061,-27.8,-48.5,Armacao do Sul,Beta-384025,2720,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400062,-27.8,-48.5,Armacao do Sul,Beta-384032,2750,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400063,-27.8,-48.5,Armacao do Sul,Beta-384021,2760,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400064,-27.8,-48.5,Armacao do Sul,Beta-384020,2780,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400065,-27.8,-48.5,Armacao do Sul,Beta-384023,2790,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400066,-27.8,-48.5,Armacao do Sul,Beta-384007,2830,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400067,-27.8,-48.5,Armacao do Sul,Beta-384019,2900,30,Shell,Oppitz 2015,21.4,Atlantic Forests,marine20
400068,-28.6,-49.1,Cubiculo I,Beta-248575,3500,50,Shell,,21.4,Atlantic Forests,marine20
400070,-28.6,-48.9,Encantada 1 (Emideo),Cena-105-LS-24,4290,70,Charcoal,,21.4,Atlantic Forests,tropics
400080,-28.7,-49,Figueirinha 4,Beta-384037,3870,30,Charcoal,,21.4,Atlantic Forests,tropics
400094,-28.4,-49,Ilhotinha,Beta-209711,5270,60,Wood and burned seed,,21.4,Atlantic Forests,tropics
400135,-28.5,-49.1,Lajeado 1,Beta-248577,5470,60,Charcoal,,21.4,Atlantic Forests,tropics
400139,-28.5,-49,Monte Castelo,Beta-209715,3240,70,Shell,,21.4,Atlantic Forests,marine20
400140,-28.5,-49,Monte Castelo,Beta-209716,3360,70,Shell,,21.4,Atlantic Forests,marine20
400141,-28.5,-49,Morrinhos,Beta-209713,3230,70,Shell,,21.4,Atlantic Forests,marine20
400142,-28.5,-49,Morrinhos,Beta-209714,4480,60,Charcoal,,21.4,Atlantic Forests,tropics
400146,-26.4,-48.6,Sambaqui Bupeva I,Beta-397494,1440,30,Sea mammal bone,,21.4,Atlantic Forests,tropics
400151,-26.4,-48.6,Sambaqui Bupeva VIII,Beta-452916,3570,30,Shell,Bandeira (2018),21.4,Atlantic Forests,marine20
400153,-28.5,-48.8,Sambaqui Caieira,I-2628S,2770,100,Charcoal,Hurt 1974,21.4,Atlantic Forests,tropics
400155,-27.6,-48.5,Sambaqui Canto da Lagoa I,Cams-42121,1620,50,Human collagen,,21.4,Atlantic Forests,tropics
400162,-28.5,-48.8,Sambaqui Carnica I,A-883-1,2200,500,Charcoal,"Haynes, Grey, and Long 1971",21.4,Atlantic Forests,tropics
400163,-28.5,-48.8,Sambaqui Carnica I,A-884,2400,110,Charcoal,Hurt 1974,21.4,Atlantic Forests,tropics
400168,-28.5,-48.8,Sambaqui Carnica I,A-917,3210,150,Charcoal,"Haynes, Grey, and Long 1971",21.4,Atlantic Forests,tropics
400169,-28.5,-48.8,Sambaqui Carnica I,A-950,3275,125,Charcoal,Hurt 1974,21.4,Atlantic Forests,tropics
400170,-28.5,-48.8,Sambaqui Carnica I,A-956,3280,120,Charcoal,"Haynes, Grey, and Long 1971",21.4,Atlantic Forests,tropics
400174,-28.5,-48.8,Sambaqui Carnica I,L-2620,3350,110,Charcoal,"Beck, 1970",21.4,Atlantic Forests,tropics
400177,-28.5,-48.8,Sambaqui Carnica I,L-116449,3400,150,Charcoal,Hurt 1974,21.4,Atlantic Forests,tropics
400184,-26.4,-48.6,Sambaqui Costeira,Beta-443868,3860,30,Charcoal,Almeida 2017,21.4,Atlantic Forests,tropics
400185,-26.2,-48.8,Sambaqui Cubatao I,Beta-268526,2250,40,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400186,-26.2,-48.8,Sambaqui Cubatao I,Beta-268518,2430,40,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400187,-26.2,-48.8,Sambaqui Cubatao I,Beta-268523,2460,40,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400188,-26.2,-48.8,Sambaqui Cubatao I,Beta-268525,2460,40,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400189,-26.2,-48.8,Sambaqui Cubatao I,Ly-4524,2460,30,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400190,-26.2,-48.8,Sambaqui Cubatao I,Ly-4527,2495,30,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400191,-26.2,-48.8,Sambaqui Cubatao I,Beta-268524,2510,40,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400192,-26.2,-48.8,Sambaqui Cubatao I,Beta-259519,2520,40,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400194,-26.2,-48.8,Sambaqui Cubatao I,Beta-259823,2560,40,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400195,-26.2,-48.8,Sambaqui Cubatao I,Ly-4526,2620,30,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400197,-26.2,-48.8,Sambaqui Cubatao I,Beta-259824,2660,40,Human collagen,Figuti (2009),21.4,Atlantic Forests,tropics
400198,-26.2,-48.8,Sambaqui Cubatao I,Beta-259820,2670,40,Charcoal,Figuti (2009),21.4,Atlantic Forests,tropics
400199,-26.2,-48.8,Sambaqui Cubatao I,Beta-259827,2890,70,Charcoal,Figuti (2009),21.4,Atlantic Forests,tropics
400200,-26.2,-48.8,Sambaqui Cubatao I,Beta-259825,2970,60,Charcoal,Figuti (2009),21.4,Atlantic Forests,tropics
400201,-26.2,-48.8,Sambaqui Cubatao I,Ly-4525,2975,30,Charcoal,Figuti (2009),21.4,Atlantic Forests,tropics
400203,-25.3,-48.8,Sambaqui de Cacatu,Bah-1392,5020,200,Charcoal,Martin et al. 1988,21.4,Atlantic Forests,tropics
400207,-25.4,-48.5,Sambaqui do Macedo,P-485,3271,48,Charcoal,Stuckenrath 1963,21.4,Atlantic Forests,tropics
400208,-25.4,-48.5,Sambaqui do Macedo,P-487,3284,61,Charcoal,Stuckenrath 1963,21.4,Atlantic Forests,tropics
400209,-25.4,-48.5,Sambaqui do Macedo,P-482,3306,61,Charcoal,Stuckenrath 1963,21.4,Atlantic Forests,tropics
400210,-25.4,-48.5,Sambaqui do Macedo,P-483,3344,61,Charcoal,Stuckenrath 1963,21.4,Atlantic Forests,tropics
400211,-25.4,-48.5,Sambaqui do Macedo,P-488,3361,70,Charcoal,Stuckenrath 1963,21.4,Atlantic Forests,tropics
400212,-25.4,-48.5,Sambaqui do Macedo,P-486,3373,58,Charcoal,Stuckenrath 1963,21.4,Atlantic Forests,tropics
400213,-25.4,-48.5,Sambaqui do Macedo,P-489,3424,62,Charcoal,Stuckenrath 1963,21.4,Atlantic Forests,tropics
400214,-25.4,-48.5,Sambaqui do Macedo,P-500,3496,56,Charcoal,Stuckenrath 1963,21.4,Atlantic Forests,tropics
400217,-29.4,-49.8,Sambaqui do Recreio,Beta-232731,3350,50,Charcoal,Wagner 2009,21.4,Atlantic Forests,tropics
400220,-26.2,-48.8,Sambaqui Cubataozinho,Cen-1127,4760,80,Human collagen,,21.4,Atlantic Forests,tropics
400222,-26.3,-48.8,Sambaqui Espinheiros I,SI-224,2220,240,Charcoal,Long and Mielke 1966,21.4,Atlantic Forests,tropics
400223,-26.3,-48.8,Sambaqui Espinheiros I,SI-225,2870,100,Charcoal,Long and Mielke 1966,21.4,Atlantic Forests,tropics
400224,-26.3,-48.8,Sambaqui Espinheiros I,SI-226,2920,100,Charcoal,Long and Mielke 1966,21.4,Atlantic Forests,tropics
400225,-26.3,-48.8,Sambaqui Espinheiros II,Gif-9415,1160,45,Charcoal,Alfonso and DeBlasis 1994,21.4,Atlantic Forests,tropics
400228,-28.7,-49,Sambaqui Figueirinha 3,Bah-1378,4240,190,Charcoal,,21.4,Atlantic Forests,tropics
400229,-26.3,-48.6,Sambaqui Forte Marechal Luz ,M-1205,850,100,Seed,Crane and Griffin 1964,21.4,Atlantic Forests,tropics
400230,-26.3,-48.6,Sambaqui Forte Marechal Luz ,M-1204,1100,100,Charcoal,Crane and Griffin 1964,21.4,Atlantic Forests,tropics
400231,-26.3,-48.6,Sambaqui Forte Marechal Luz ,M-1206,1440,110,Human collagen,Crane and Griffin 1964,21.4,Atlantic Forests,tropics
